販売日,顧客名,商品ID,数量,金額,更新日
2025-04-15,A株式会社,P001,10,800,2025-04-15
2025-04-16,B有限会社,P006,2,11960,2025-04-16
2025-04-17,C商事株式会社,P004,5,600,2025-04-17
2025-04-20,D合同会社,P010,3,1194,2025-04-20
2025-03-25,Eコーポレーション,P003,12,2400,2025-03-25
2025-02-10,F株式会社,P009,20,2400,2025-02-10
2025-01-30,G有限会社,P008,4,1400,2025-01-30
2024-12-05,H株式会社,P007,5,4900,2024-12-05
2024-11-12,I合同会社,P002,8,1200,2024-11-12
2024-10-01,J商店,P005,15,1950,2024-10-01
2024-06-16,J商店,P001,1,80,2024-06-16
2025-04-02,A株式会社,P001,2,160,2025-04-02
2025-04-17,C商事株式会社,P008,4,1400,2025-04-17
2024-05-10,B有限会社,P008,3,1050,2024-05-10
2024-10-15,Eコーポレーション,P007,3,2940,2024-10-15
2024-09-19,A株式会社,P008,2,700,2024-09-19
2024-07-24,C商事株式会社,P002,2,300,2024-07-24
2024-07-17,D合同会社,P005,2,260,2024-07-17
2024-12-09,F株式会社,P007,5,4900,2024-12-09
2024-10-13,Eコーポレーション,P001,5,400,2024-10-13
2024-09-14,A株式会社,P005,4,520,2024-09-14
2024-08-23,D合同会社,P006,4,23920,2024-08-23
2024-09-20,A株式会社,P005,2,260,2024-09-20
2024-09-09,Eコーポレーション,P009,4,480,2024-09-09
2024-06-28,J商店,P006,1,5980,2024-06-28
2024-08-22,B有限会社,P009,5,600,2024-08-22
2024-12-09,C商事株式会社,P003,1,200,2024-12-09
2024-12-14,H株式会社,P010,3,1194,2024-12-14
2025-02-04,G有限会社,P004,4,480,2025-02-04
2024-08-02,F株式会社,P003,4,800,2024-08-02
2025-01-04,Eコーポレーション,P002,5,750,2025-01-04
2024-08-01,H株式会社,P009,2,240,2024-08-01
2025-01-12,J商店,P010,2,796,2025-01-12
2024-08-02,Eコーポレーション,P010,2,796,2024-08-02
2025-03-04,D合同会社,P006,1,5980,2025-03-04
2024-11-18,F株式会社,P007,3,2940,2024-11-18
2024-09-26,G有限会社,P002,4,600,2024-09-26
2025-03-13,Eコーポレーション,P005,3,390,2025-03-13
2024-10-20,F株式会社,P006,5,29900,2024-10-20
2025-02-13,C商事株式会社,P006,5,29900,2025-02-13
2024-07-02,C商事株式会社,P001,1,80,2024-07-02
2024-07-23,H株式会社,P007,5,4900,2024-07-23
2024-06-22,D合同会社,P009,2,240,2024-06-22
2025-02-02,D合同会社,P001,2,160,2025-02-02
2025-01-06,C商事株式会社,P002,3,450,2025-01-06
2024-07-20,I合同会社,P010,5,1990,2024-07-20
2024-08-15,F株式会社,P005,2,260,2024-08-15
2024-06-25,Eコーポレーション,P002,2,300,2024-06-25
2024-10-14,I合同会社,P008,5,1750,2024-10-14
2024-09-15,B有限会社,P001,3,240,2024-09-15
