販売日,顧客名,カテゴリ名,商品名,数量,金額,更新日
2025-04-15 00:00:00,A株式会社,文房具,鉛筆,10,800,2025-04-15
2025-04-16 00:00:00,B有限会社,家電,HDD 1TB,2,11960,2025-04-16
2025-04-17 00:00:00,C商事株式会社,食料品,キャベツ,5,600,2025-04-17
2025-04-20 00:00:00,D合同会社,日用品,洗剤詰め替え用,3,1194,2025-04-20
2025-03-25 00:00:00,Eコーポレーション,文房具,ノート,12,2400,2025-03-25
2025-02-10 00:00:00,F株式会社,食料品,インスタントラーメン,20,2400,2025-02-10
2025-01-30 00:00:00,G有限会社,日用品,ティッシュ5箱パック,4,1400,2025-01-30
2025-04-02 00:00:00,A株式会社,文房具,鉛筆,2,160,2025-04-02
2025-04-17 00:00:00,C商事株式会社,日用品,ティッシュ5箱パック,4,1400,2025-04-17
2025-02-04 00:00:00,G有限会社,食料品,キャベツ,4,480,2025-02-04
2025-03-04 00:00:00,D合同会社,家電,HDD 1TB,1,5980,2025-03-04
2025-03-13 00:00:00,Eコーポレーション,食料品,トマト,3,390,2025-03-13
2025-02-13 00:00:00,C商事株式会社,家電,HDD 1TB,5,29900,2025-02-13
2025-02-02 00:00:00,D合同会社,文房具,鉛筆,2,160,2025-02-02
